编号,名称(日文原名+中文翻译),所属章节,分类,功能描述,适用场景,难度,Source
TIPS 11,AIを「壁打ち相手」に、革新的なアイデアを生み出す (让AI成为“陪练对象”，激发创新灵感),第2章,超具体化,AI通过提供多维度的提问和视角，帮助用户突破思维定式，完善策划。,一个人构思陷入死胡同，需要新的刺激和反馈时。,初级,"[1, 2]"
TIPS 12,Copilotの「ノートブック」で、思考を深化させる (利用Copilot的“笔记本”模式深化思考),第2章,超具体化,在超长上下文窗口中输入大量背景资料，获取极具洞察力的分析建议。,面对极其复杂的课题，需要AI进行深度长文批改或咨询时。,中级,"[1, 2]"
TIPS 13,学習履歴や実績を「ポートフォリオサイト」として可視化する (将学习经历与业绩可视化为“作品集网站”),第2章,超具体化,AI协助整理散乱的经历和技能，自动生成具有说服力的故事化个人网页。,需要向他人展示自身价值或准备转职时。,中级,"[1, 2]"
TIPS 14,AIキャリアデザイナーと共に、情熱と目標を融合した「カスタム学習計画」を設計する (与AI生涯设计师共同设计融合热情与目标的“定制化学习计划”),第2章,超具体化,根据终极目标和个人兴趣，由AI量身定制从基础到实战的学习路线图。,想学新技能却不知从何入手，或担心学习计划不合理时。,中级,"[1, 2]"
TIPS 15,目標達成までの全タスクを、全自動の逆算思考で洗い出す (通过全自动倒推思维拆解实现目标的所有任务),第2章,超具体化,AI将宏大目标分解为月、周、日单位的WBS（工作分解结构），明确每日行动。,面对长期目标感到压力巨大，无从下手时。,中级,"[1, 2]"
TIPS 16,学習の「つまづきポイント」を予測させ、挫折を防止する (预测学习中的“绊脚石”，防止半途而废),第2章,超具体化,让AI扮演资深导师，提前指出初学者易犯错的难点并提供对策。,开始学习高难度新知识，希望提前做好心理准备和避坑时。,初级,"[1, 2]"
TIPS 17,「学習スタイル診断」で、自分の脳に最適化した学習戦略を選ぶ (通过“学习风格诊断”选择最适合自己大脑的学习策略),第2章,超具体化,分析个人性格和过往经验，匹配视觉、听觉或逻辑等最高效的学习“型”。,尝试了流行的学习法却不见成效，感到自我怀疑时。,初级,"[1, 2]"
TIPS 18,毎日の感情の波から、「自分のゴールデンタイム」を発見する (从每日情感波动中发现自己的“黄金时间”),第2章,超具体化,通过长期记录状态并让AI分析，找出专注力最强的时间段和环境因素。,希望根据自身生物节律科学规划高强度工作时间时。,中级,"[1, 2]"
TIPS 19,「タイムキーパー」を召喚し、集中力を保つ (召唤“计时员”AI，保持专注力),第2章,超具体化,AI不仅是闹钟，更是温和的提醒者，协助在不同任务间进行顺滑切换。,容易过度沉迷单一任务而导致全天进度失控时。,初级,"[1, 2]"
TIPS 20,専門書を「自分専用のオーディオブック」に変換し、スキマ時間で学ぶ (将专业书转化为“专属有声书”，利用碎片时间学习),第2章,超具体化,将艰深枯涩的专业内容改写为浅显易懂的故事剧本，并进行语音合成。,买了书读不进去，或通勤途中想消化厚重理论时。,中级,"[1, 3]"
TIPS 21,YouTubeの動画を「テキスト教材」に変換し、知識を資産化 (将YouTube视频转化为“文本教材”，实现知识资产化),第2章,超具体化,AI将长视频自动转化为带时间戳的笔记、关键点列表及行动建议。,看视频时觉得有收获但事后难以检索或回顾具体内容时。,中级,"[1, 3]"
TIPS 22,難解な文献の要点を抜き出し、高度な学習を一瞬で終える (提取难懂文献要点，瞬间完成高度学习),第2章,超具体化,AI通过特定论文框架（背景、目的、手法等）快速结构化难懂的学术文章。,需要快速掌握前沿技术论文或行业技术报告的核心内容时。,中级,"[1, 3]"
TIPS 23,NotebookLMに研修資料を登録し、独学を効率化する (在NotebookLM注册研修资料，提升独学效率),第2章,超具体化,建立基于私有文档的知识库，让AI扮演专属家庭教师解答相关疑问。,面对公司内部手册或大量研修文档，需要精准问答时。,初级,"[1, 3]"
TIPS 24,「パーソナライズ問題集」で、ピンポイントで知識の穴を埋める (利用“个性化习题集”精准填补知识漏洞),第2章,超具体化,AI根据用户的当前理解水平，自动生成难度适中的“最近发展区”习题。,现成教材太简单或太难，无法获得持续进步的成就感时。,中级,"[1, 3]"
TIPS 25,資格試験の過去問を自動分析し、合格への最短ルートを導き出す (自动分析资格考试历年真题，推导合格最短路径),第2章,超具体化,分析真题的出题频率和配分，明确“必须做的”和“可以舍弃的”部分。,考前时间紧迫，需要将精力集中在最高产的考点上时。,中级,"[1, 3]"
TIPS 26,1日の終わりにAIと「5分間対話」し、学びを脳に刻む (晚间与AI进行5分钟对谈，将学习内容刻入大脑),第3章,输出深化,通过AI的追问促使自我复述，利用“费曼技巧”将短期记忆转化为长期记忆。,当天读了书或听了讲座，希望巩固学习成果防止遗忘时。,初级,"[1, 3]"
TIPS 27,「自分の分身」との対話で、学びを血肉にする (通过与“自己的分身”对话，让学问化为血肉),第3章,输出深化,让AI模仿自己的语调和思维模式，通过向特定对象模拟讲解来检验理解度。,需要整理深层思考，并确认知识是否真正转化为自己的东西时。,中级,"[1, 3]"
TIPS 28,AI英会話講師とのロールプレイで「使える英会話」を磨く (与AI外教角色扮演，磨练“实战英会話”),第3章,输出深化,设定具体的商务场景进行24小时随时随地的模拟对话练习。,面临海外重要谈判或汇报，急需进行针对性口语热身时。,初级,"[1, 3]"
TIPS 29,AIを国際ビジネスのプロとして活用し、「ビジネス英文」を作成する (将AI作为国际商务专家，撰写商务英文),第3章,输出深化,AI考虑文化背景差异，修正直译式英语，提供更得体、专业的替代方案。,给海外合作伙伴发邮件，担心语气失礼或表达不专业时。,中级,"[1, 3]"
TIPS 30,「褒めて伸ばす専属コーチ」を呼び出し、モチベーションを科学的に維持する (召唤“夸奖型专属教练”，科学维持动力),第3章,输出深化,利用积极心理学原理，让AI对微小进步给予即时肯定，建立正向反馈循环。,孤独学习感到疲惫，急需情绪价值支撑以继续坚持时。,初级,"[1, 3]"
TIPS 31,「デジタル表彰状」の自動発行で、達成感を増幅する (通过自动颁发“数字奖状”，放大成就感),第3章,输出深化,当达成阶段性目标时，由AI生成充满激情的赞美语和仪式感奖状。,完成重要章节或项目，希望通过仪式感提升自我效能感时。,初级,"[1, 3]"
TIPS 32,学習進捗の「ゲーム化」でモチベーションをハックする (通过“游戏化”学习进度，掌控动力),第3章,输出深化,将学习行为量化为经验值（XP），通过等级提升和称号获得来增加趣味性。,长期学习容易产生枯燥感，需要增加即时趣味反馈时。,中级,"[1, 3]"
TIPS 33,「週間学習レポート」を自動生成し、高速でPDCAサイクルを回す (自动生成“周报”，快速推进PDCA循环),第3章,输出深化,AI基于一周记录分析效率高低，提出针对性的改进方案和下周计划建议。,盲目努力却感觉效率低下，需要客观分析学习策略时。,中级,"[1, 3]"
TIPS 34,AIコミュニティマネージャーの力で、同じ目標を持つ仲間と共に成長する (借助AI社群经理，与志同道合者共成长),第3章,输出深化,由AI寻找学习同伴、制定社群规则并充当讨论协调人。,希望摆脱单打独斗，通过社群互动提升学习深度和广度时。,高级,"[1, 4]"
TIPS 35,「コンセプトマップ」を作成し、思考の全体像を俯瞰する (制作“概念图”，鸟瞰思考全景),第3章,输出深化,将碎片化的市场、竞争、技术等要素转化为清晰的二维关系图。,项目初期思绪杂乱，无法理清各个要素间的逻辑联系时。,中级,"[1, 4]"
TIPS 36,GeminiのDeep Research機能で、特定テーマの学びを追求する (利用Gemini的深度研究功能深挖特定课题),第3章,输出深化,AI多角度自动检索、分析并整合网络信息，生成系统性的深度报告。,面对全新领域，需要快速建立完整且专业的知识框架时。,高级,"[1, 4]"
TIPS 37,複数ニュースを比較分析し、「ファクトとオピニオン」を可視化する (对比多方新闻，可视化“事实与观点”),第3章,输出深化,AI客观拆解不同立场的报道，剥离潜在偏见，提取确定性的事实。,面对各执一词的争议性新闻，需要冷静判断真相时。,中级,"[1, 4]"
TIPS 38,AIに「思考の連鎖」を伝え、高精度の回答を得る (向AI传递“思考链”，获取高精度回答),第3章,输出深化,通过“Step by Step”指令让AI展示逻辑推导过程，提升输出质量。,需要AI处理需要缜密逻辑的复杂问题（如撰写文案建议）时。,中级,"[1, 4]"
TIPS 39,「悪魔の代弁者」に、自分の課題をリストアップしてもらう (让“恶魔代言人”AI指出自己的问题),第3章,输出深化,设定挑剔的评审员人格，从第三者视角无情揭露策划案中的漏洞和风险。,策划自认为完美但担心存在认知盲区或逻辑飞跃时。,中级,"[1, 4]"
TIPS 40,「代替案生成者」に、課題解決の最適解を立案させる (让“替代方案生成器”AI制定最优解),第3章,输出深化,AI基于发现的问题点，瞬间生成多种具备可行性的备选方案进行优化。,已知问题所在但苦于缺乏创意或解决方法，决策陷入僵局时。,中级,"[1, 4]"
TIPS 41,伝説のAI投資家に、事業アイデアを事業計画レベルまで昇華してもらう (让传奇AI投资人将构思升华为计划书级别),第4章,机制化,模拟严苛的投融资面谈，通过高强度问答补全市场、收益和风险模块。,有初步创业构思，需要将其打磨成专业商业计划书时。,高级,"[1, 4]"
TIPS 42,書いた文章を解析し、「認知バイアス」を把握する (通过解析旧作把握自己的“认知偏差”),第4章,机制化,AI通过对过往文档的模式分析，指出用户在决策中易犯的心理偏差。,希望更新自己的“思维系统（OS）”，提升决策客观性时。,高级,"[1, 4]"
TIPS 43,ひらめきを「音声メモ」にして、リサーチから企画骨子まで瞬時に作成する (将灵感化为语音，瞬间完成从调研到框架的输出),第4章,机制化,利用AI的自动化工作流，在录入灵感的瞬间自动匹配相关背景资料。,在洗澡、散步等灵感爆发时刻，需要AI协助即刻完善构思时。,中级,"[1, 4]"
TIPS 44,「比喩の魔術師」をパートナーとして、難解な概念を噛み砕く (以“隐喻魔术师”为伴，拆解难懂概念),第4章,机制化,根据对方熟悉的世界观（如高尔夫、历史等）定制个性化且贴切的比喻。,需要向完全不同背景的人高效传达核心价值时。,中级,"[1, 4]"
TIPS 45,科学的抽象概念を、「図解」で直感的に理解する (通过“图解”直观理解科学抽象概念),第4章,机制化,将公式或文字描述的物理现象等转化为动态、可操作的视觉化演示。,学习量子力学、相对论等日常感觉难以捕捉的高度抽象知识时。,高级,"[1, 4]"
TIPS 46,自分専用のナレッジベースを構築し、「第二の脳」として活用する (构建个人知识库，作为“第二大脑”使用),第4章,机制化,利用NotebookLM整合过往项目资料，让AI基于个人积累提供决策辅助。,希望将过去的成功经验和失败教训系统性地转化为当下生产力时。,中级,"[1, 4]"
TIPS 47,AIヘッドハンターの力を借りて、自分の強みを把握する (借助AI猎头掌握自己的职场竞争力),第4章,机制化,通过市场数据客观评估个人身价，制定提升年薪的具体技能学习路径。,感到职业瓶颈，需要明确当前市场价值和未来发力点时。,中级,"[1, 4]"
TIPS 48,未来予測から逆算して、3年後のキャリア戦略を構想する (从未来预测倒推构思3年后的生涯战略),第4章,机制化,基于AI对行业趋势的研判，反推现在必须掌握的抗淘汰技能。,担心当前技能随AI进化而陈旧化，需要前瞻性自我投资时。,高级,"[1, 5]"
TIPS 49,「読書DNA」のデータから、自分を成長させる「運命の一冊」と出合う (通过“读书DNA”数据遇见助推成长的“命运之书”),第4章,机制化,AI深度分析过往阅读喜好背后的本质，跨领域推荐真正契合当前需求的书籍。,陷入读书倦怠期，或在海量出版物中找不到灵魂共鸣时。,中级,"[1, 5]"
TIPS 50,AI時代の「超アウトプット思考法」を体得する (体得AI时代的“超输出思考法”),第4章,机制化,将AI视为外部脑，人类通过提出“本质性提问”和“注入灵魂”来定义终极产出。,作为AI时代的创造者，追求超越常规水平的社会价值产出时。,高级,"[1, 5]"
